Date,Product_ID,Product_Name,Store_ID,Warehouse_ID,Sales_Quantity,Stock_Quantity,Price,Revenue,Year,Month,Week,DayOfWeek,IsWeekend
2026-07-08,24,Product_24,15,5,7,80,17.55,122.85,2026,7,28,4,0
2026-06-03,23,Product_23,6,6,6,223,86.77,520.62,2026,6,23,4,0
2026-06-23,21,Product_21,5,5,5,171,24.23,121.15,2026,6,26,3,0
2026-08-11,46,Product_46,12,2,0,144,77.57,0.0,2026,8,33,3,0
2026-06-03,62,Product_62,6,6,15,216,39.6,594.0,2026,6,23,4,0
2026-06-06,143,Product_143,20,10,16,377,21.45,343.2,2026,6,23,7,1
2026-08-22,48,Product_48,14,4,13,393,51.75,672.75,2026,8,34,7,1
2026-08-24,23,Product_23,17,7,6,359,86.77,520.62,2026,8,35,2,0
2026-06-25,133,Product_133,5,5,16,488,23.34,373.44,2026,6,26,5,0
2026-08-03,58,Product_58,4,4,12,54,36.7,440.4,2026,8,32,2,0
2026-08-27,10,Product_10,13,3,17,115,92.05,1564.85,2026,8,35,5,0
2026-06-11,136,Product_136,17,7,4,407,98.12,392.48,2026,6,24,5,0
2026-08-27,63,Product_63,16,6,2,91,34.87,69.74,2026,8,35,5,0
2026-07-25,55,Product_55,11,1,7,434,44.77,313.39,2026,7,30,7,1
2026-07-02,64,Product_64,7,7,4,162,19.97,79.88,2026,7,27,5,0
2026-07-10,106,Product_106,20,10,12,447,18.59,223.08,2026,7,28,6,0
2026-08-14,63,Product_63,12,2,3,270,34.87,104.61,2026,8,33,6,0
2026-06-12,144,Product_144,17,7,3,476,13.71,41.13,2026,6,24,6,0
2026-07-11,149,Product_149,12,2,6,406,65.46,392.76,2026,7,28,7,1
2026-07-14,66,Product_66,10,10,1,212,93.93,93.93,2026,7,29,3,0
2026-08-04,95,Product_95,10,10,6,155,88.52,531.12,2026,8,32,3,0
2026-06-24,29,Product_29,4,4,2,364,93.91,187.82,2026,6,26,4,0
2026-08-28,80,Product_80,7,7,17,412,65.52,1113.84,2026,8,35,6,0
2026-06-30,46,Product_46,12,2,1,286,77.57,77.57,2026,6,27,3,0
2026-06-10,89,Product_89,6,6,18,491,47.02,846.36,2026,6,24,4,0
2026-07-18,19,Product_19,16,6,3,154,32.37,97.11,2026,7,29,7,1
2026-06-11,95,Product_95,4,4,2,371,88.52,177.04,2026,6,24,5,0
2026-08-02,29,Product_29,5,5,0,452,93.91,0.0,2026,8,31,1,1
2026-06-10,39,Product_39,2,2,8,463,14.03,112.24,2026,6,24,4,0
2026-07-03,85,Product_85,20,10,8,270,48.16,385.28,2026,7,27,6,0
