Store_ID,Warehouse_ID,units_sold,revenue,avg_stock,txn_count
15,5,26592,1431186.47,261.5,3094
14,4,26251,1410686.48,261.7,3016
8,8,26530,1394552.8,260.9,3035
9,9,26203,1377218.01,259.3,3016
6,6,26652,1372971.31,258.5,3072
18,8,25867,1369434.12,259.7,3011
17,7,25215,1362628.08,262.4,2978
16,6,25577,1355579.48,258.3,3012
19,9,25212,1347285.35,259.9,2983
3,3,26054,1345049.4,259.8,2975
13,3,25410,1340114.4,259.5,2997
4,4,25106,1338504.68,259.7,2966
20,10,25006,1327277.18,258.9,2981
1,1,25458,1321694.3,258.2,2973
2,2,24674,1312909.35,257.0,2969
5,5,25432,1308496.52,260.0,2935
12,2,24277,1295989.46,256.9,2880
7,7,24450,1291097.94,260.6,2939
10,10,24629,1287479.21,256.6,2860
11,1,25125,1285122.55,255.3,3006
