Product_ID,Product_Name,units_sold,revenue,rank,revenue_share_pct,cumulative_share_pct
120,Product_120,11254,1048197.56,1,3.9,3.9
123,Product_123,11144,942893.84,2,3.51,7.41
94,Product_94,8826,880128.72,3,3.27,10.68
80,Product_80,11718,767763.36,4,2.86,13.54
10,Product_10,6157,566751.85,5,2.11,15.65
148,Product_148,7092,563743.08,6,2.1,17.75
141,Product_141,6214,552983.86,7,2.06,19.8
31,Product_31,4902,471033.18,8,1.75,21.56
127,Product_127,8861,469012.73,9,1.75,23.3
97,Product_97,4869,411479.19,10,1.53,24.83
68,Product_68,9838,407489.96,11,1.52,26.35
22,Product_22,5529,392614.29,12,1.46,27.81
23,Product_23,4439,385172.03,13,1.43,29.24
91,Product_91,4170,384682.5,14,1.43,30.67
99,Product_99,3725,372164.75,15,1.38,32.06
125,Product_125,14565,352036.05,16,1.31,33.37
82,Product_82,5551,337944.88,17,1.26,34.63
77,Product_77,3540,337574.4,18,1.26,35.88
18,Product_18,4828,314447.64,19,1.17,37.05
36,Product_36,3271,310319.77,20,1.15,38.21
