Warehouse_ID,units_sold,revenue,avg_stock,txn_count,products,stores,stock_to_sales,stock_risk
1,50583,2606816.85,256.8,5979,150,2,5.08,overstock
2,48951,2608898.81,256.9,5849,150,2,5.25,overstock
3,51464,2685163.8,259.7,5972,150,2,5.05,understock
4,51357,2749191.16,260.7,5982,150,2,5.08,overstock
5,52024,2739682.99,260.8,6029,150,2,5.01,understock
6,52229,2728550.79,258.4,6084,150,2,4.95,understock
7,49665,2653726.02,261.5,5917,150,2,5.27,overstock
8,52397,2763986.92,260.3,6046,150,2,4.97,understock
9,51415,2724503.36,259.6,5999,150,2,5.05,understock
10,49635,2614756.39,257.8,5841,150,2,5.19,overstock
