Product_ID,Product_Name,total_sales,avg_daily_sales,sales_volatility,avg_stock,revenue,avg_price,store_count,stock_to_sales_ratio,cluster,demand_level
125,Product_125,14565,161.83,8.2,252.3,352036.05,24.17,20,1.56,2,High
113,Product_113,13487,151.54,7.14,250.3,133656.17,9.91,20,1.65,2,High
80,Product_80,11718,131.66,5.81,252.3,767763.36,65.52,20,1.92,2,High
120,Product_120,11254,125.04,6.08,256.9,1048197.56,93.14,20,2.05,2,High
123,Product_123,11144,123.82,6.12,252.3,942893.84,84.61,20,2.04,2,High
68,Product_68,9838,110.54,6.13,255.6,407489.96,41.42,20,2.31,2,High
127,Product_127,8861,98.46,5.43,254.4,469012.73,52.93,20,2.58,2,High
94,Product_94,8826,98.07,5.24,261.0,880128.72,99.72,20,2.66,2,High
138,Product_138,7795,87.58,5.26,252.5,79353.1,10.18,20,2.88,1,Medium
62,Product_62,7383,82.03,4.94,264.6,292366.8,39.6,20,3.23,1,Medium
87,Product_87,7382,82.94,5.04,257.9,244048.92,33.06,20,3.11,1,Medium
58,Product_58,7196,80.85,5.03,253.3,264093.2,36.7,20,3.13,1,Medium
148,Product_148,7092,81.52,5.02,246.2,563743.08,79.49,20,3.02,2,High
89,Product_89,6495,74.66,4.47,260.8,305394.9,47.02,20,3.49,1,Medium
141,Product_141,6214,70.61,4.21,260.5,552983.86,88.99,20,3.69,1,Medium
10,Product_10,6157,68.41,4.55,253.9,566751.85,92.05,20,3.71,1,Medium
73,Product_73,5789,64.32,4.32,250.9,292576.06,50.54,20,3.9,1,Medium
143,Product_143,5734,64.43,3.55,265.1,122994.3,21.45,20,4.11,1,Medium
53,Product_53,5615,62.39,3.93,262.3,74847.95,13.33,20,4.2,1,Medium
61,Product_61,5601,63.65,3.92,257.3,171950.7,30.7,20,4.04,1,Medium
4,Product_4,5577,62.66,3.85,251.9,222020.37,39.81,20,4.02,1,Medium
82,Product_82,5551,61.68,4.3,257.3,337944.88,60.88,20,4.17,1,Medium
22,Product_22,5529,62.83,4.2,260.4,392614.29,71.01,20,4.14,1,Medium
104,Product_104,5373,60.37,3.98,255.3,41640.75,7.75,20,4.23,1,Medium
1,Product_1,5189,58.3,3.75,262.8,231429.4,44.6,20,4.51,1,Medium
81,Product_81,5138,59.06,3.93,249.8,85188.04,16.58,20,4.23,1,Medium
8,Product_8,5083,57.11,3.93,259.6,168755.6,33.2,20,4.55,1,Medium
33,Product_33,5006,56.89,3.85,257.6,307368.4,61.4,20,4.53,1,Medium
31,Product_31,4902,54.47,3.59,255.8,471033.18,96.09,20,4.7,1,Medium
97,Product_97,4869,55.97,3.81,266.9,411479.19,84.51,20,4.77,1,Medium
18,Product_18,4828,54.86,3.79,251.8,314447.64,65.13,20,4.59,1,Medium
65,Product_65,4697,52.19,3.85,256.7,89430.88,19.04,20,4.92,1,Medium
23,Product_23,4439,49.32,3.76,250.2,385172.03,86.77,20,5.07,1,Medium
44,Product_44,4439,50.44,3.59,266.5,218709.53,49.27,20,5.28,1,Medium
38,Product_38,4364,49.59,3.75,262.0,266465.84,61.06,20,5.28,1,Medium
108,Product_108,4309,47.88,3.42,260.7,102683.47,23.83,20,5.44,1,Medium
106,Product_106,4276,48.59,3.53,255.5,79490.84,18.59,20,5.26,1,Medium
12,Product_12,4239,47.63,3.53,257.6,153409.41,36.19,20,5.41,1,Medium
6,Product_6,4223,47.45,3.36,256.2,173354.15,41.05,20,5.4,1,Medium
91,Product_91,4170,46.85,3.34,266.7,384682.5,92.25,20,5.69,1,Medium
15,Product_15,4149,46.1,3.8,262.5,277983.0,67.0,20,5.69,1,Medium
43,Product_43,4057,45.58,3.52,275.6,240904.66,59.38,20,6.05,1,Medium
54,Product_54,4024,44.71,3.48,266.1,271620.0,67.5,20,5.95,1,Medium
133,Product_133,4015,44.61,3.32,266.5,93710.1,23.34,20,5.97,1,Medium
48,Product_48,3998,44.92,3.34,265.1,206896.5,51.75,20,5.9,1,Medium
7,Product_7,3981,44.23,3.3,245.4,279267.15,70.15,20,5.55,1,Medium
39,Product_39,3948,45.91,3.39,273.6,55390.44,14.03,20,5.96,1,Medium
150,Product_150,3862,43.39,3.27,261.0,229325.56,59.38,20,6.02,1,Medium
142,Product_142,3802,42.24,3.47,246.6,275302.82,72.41,20,5.84,1,Medium
129,Product_129,3788,42.09,3.42,256.3,245651.8,64.85,20,6.09,1,Medium
140,Product_140,3769,42.83,3.25,269.2,33996.38,9.02,20,6.29,1,Medium
13,Product_13,3726,41.87,3.27,257.0,208171.62,55.87,20,6.14,1,Medium
99,Product_99,3725,42.82,3.19,269.0,372164.75,99.91,20,6.28,1,Medium
69,Product_69,3705,41.17,3.19,259.3,275355.6,74.32,20,6.3,1,Medium
145,Product_145,3698,41.09,3.33,261.5,82983.12,22.44,20,6.36,1,Medium
116,Product_116,3659,41.11,3.26,267.9,101207.94,27.66,20,6.52,1,Medium
24,Product_24,3591,39.9,3.25,258.3,63022.05,17.55,20,6.47,1,Medium
77,Product_77,3540,39.33,2.99,260.7,337574.4,95.36,20,6.63,1,Medium
132,Product_132,3539,39.76,3.22,258.8,264681.81,74.79,20,6.51,1,Medium
92,Product_92,3416,38.38,2.99,261.6,270615.52,79.22,20,6.82,1,Medium
111,Product_111,3369,37.85,3.0,248.4,28434.36,8.44,20,6.56,0,Low
67,Product_67,3345,37.58,3.13,266.6,155877.0,46.6,20,7.09,1,Medium
60,Product_60,3330,37.0,3.25,254.4,257875.2,77.44,20,6.88,1,Medium
30,Product_30,3306,37.15,2.93,258.0,59673.3,18.05,20,6.94,0,Low
57,Product_57,3286,36.51,3.2,254.6,225978.22,68.77,20,6.97,1,Medium
36,Product_36,3271,36.34,3.01,259.7,310319.77,94.87,20,7.15,1,Medium
134,Product_134,3223,36.63,3.23,273.0,99010.56,30.72,20,7.45,1,Medium
5,Product_5,2988,33.57,3.08,248.4,107896.68,36.11,20,7.4,0,Low
100,Product_100,2987,33.56,3.05,266.1,203832.88,68.24,20,7.93,1,Medium
21,Product_21,2986,33.55,2.87,251.3,72350.78,24.23,20,7.49,0,Low
98,Product_98,2975,34.2,2.74,255.8,44952.25,15.11,20,7.48,0,Low
2,Product_2,2948,32.76,2.97,255.3,79861.32,27.09,20,7.79,0,Low
112,Product_112,2889,32.46,2.92,265.3,15947.28,5.52,20,8.17,0,Low
3,Product_3,2832,31.47,2.93,263.6,113025.12,39.91,20,8.38,0,Low
135,Product_135,2807,31.19,2.98,258.8,203339.08,72.44,20,8.3,0,Low
105,Product_105,2766,30.73,3.05,246.8,77116.08,27.88,20,8.03,0,Low
56,Product_56,2757,30.98,2.93,254.9,216589.92,78.56,20,8.23,0,Low
76,Product_76,2748,31.23,2.73,263.9,201126.12,73.19,20,8.45,0,Low
109,Product_109,2715,30.17,2.49,267.8,248449.65,91.51,20,8.88,0,Low
16,Product_16,2703,30.72,2.79,271.8,220078.26,81.42,20,8.85,0,Low
9,Product_9,2665,29.61,2.38,245.5,253548.1,95.14,20,8.29,0,Low
149,Product_149,2631,29.9,2.5,263.9,172225.26,65.46,20,8.83,0,Low
74,Product_74,2518,28.29,2.55,269.7,102608.5,40.75,20,9.53,0,Low
83,Product_83,2510,28.2,2.57,259.2,176151.8,70.18,20,9.19,0,Low
130,Product_130,2482,28.2,2.71,255.1,213104.52,85.86,20,9.05,0,Low
131,Product_131,2471,28.08,2.7,248.9,48802.25,19.75,20,8.86,0,Low
88,Product_88,2462,28.3,2.58,269.5,119554.72,48.56,20,9.52,0,Low
27,Product_27,2341,26.01,2.55,260.2,173093.54,73.94,20,10.0,0,Low
146,Product_146,2323,25.81,2.44,253.5,227886.3,98.1,20,9.82,0,Low
147,Product_147,2288,25.42,2.35,248.4,111105.28,48.56,20,9.77,0,Low
137,Product_137,2285,26.26,2.83,256.9,144183.5,63.1,20,9.78,0,Low
110,Product_110,2270,25.51,2.42,252.8,152884.5,67.35,20,9.91,0,Low
126,Product_126,2260,25.11,2.5,259.3,38126.2,16.87,20,10.33,0,Low
128,Product_128,2219,24.93,2.47,242.4,168178.01,75.79,20,9.72,0,Low
32,Product_32,2178,24.47,2.51,257.8,176592.24,81.08,20,10.54,0,Low
40,Product_40,2178,24.2,2.4,265.3,138390.12,63.54,20,10.96,0,Low
37,Product_37,2177,24.19,2.39,268.1,63285.39,29.07,20,11.08,0,Low
50,Product_50,2149,24.42,2.53,257.4,200867.03,93.47,20,10.54,0,Low
107,Product_107,2121,23.57,2.33,266.9,167113.59,78.79,20,11.32,0,Low
49,Product_49,2087,23.45,2.35,265.5,129310.52,61.96,20,11.32,0,Low
45,Product_45,2018,22.93,2.16,253.6,110283.7,54.65,20,11.06,0,Low
64,Product_64,2017,23.18,2.15,267.2,40279.49,19.97,20,11.53,0,Low
90,Product_90,2004,22.52,2.3,269.3,67494.72,33.68,20,11.96,0,Low
42,Product_42,1965,22.33,2.28,270.8,115286.55,58.67,20,12.13,0,Low
11,Product_11,1964,22.32,2.26,266.4,99555.16,50.69,20,11.94,0,Low
26,Product_26,1901,21.12,2.39,257.0,26671.03,14.03,20,12.17,0,Low
95,Product_95,1873,21.28,2.45,272.2,165797.96,88.52,20,12.79,0,Low
85,Product_85,1873,21.04,2.31,265.5,90203.68,48.16,20,12.62,0,Low
72,Product_72,1853,20.59,2.13,251.8,146627.89,79.13,20,12.23,0,Low
78,Product_78,1852,20.81,2.42,269.0,30113.52,16.26,20,12.93,0,Low
14,Product_14,1831,20.57,2.32,256.5,156751.91,85.61,20,12.47,0,Low
63,Product_63,1781,19.79,2.23,259.9,62103.47,34.87,20,13.13,0,Low
20,Product_20,1686,18.94,2.12,263.0,126129.66,74.81,20,13.89,0,Low
55,Product_55,1679,18.66,2.22,259.6,75168.83,44.77,20,13.91,0,Low
84,Product_84,1611,17.9,2.26,256.1,9939.87,6.17,20,14.31,0,Low
117,Product_117,1605,18.03,2.06,258.1,137532.45,85.69,20,14.32,0,Low
17,Product_17,1521,16.9,1.96,253.7,84582.81,55.61,20,15.01,0,Low
139,Product_139,1476,16.4,1.96,273.5,93799.8,63.55,20,16.68,0,Low
102,Product_102,1454,16.16,1.9,255.2,19759.86,13.59,20,15.79,0,Low
136,Product_136,1442,16.02,1.92,243.2,141489.04,98.12,20,15.18,0,Low
71,Product_71,1421,15.97,2.01,256.2,133474.53,93.93,20,16.04,0,Low
114,Product_114,1384,15.55,2.04,268.0,86583.04,62.56,20,17.23,0,Low
79,Product_79,1372,15.59,1.89,270.2,117717.6,85.8,20,17.33,0,Low
121,Product_121,1318,14.98,1.78,269.7,103265.3,78.35,20,18.0,0,Low
103,Product_103,1295,14.55,1.87,257.8,116834.9,90.22,20,17.72,0,Low
52,Product_52,1270,14.11,1.83,248.9,20472.4,16.12,20,17.64,0,Low
28,Product_28,1246,13.84,1.82,256.7,16235.38,13.03,20,18.55,0,Low
51,Product_51,1233,13.85,1.74,255.5,20184.21,16.37,20,18.45,0,Low
