Date,Product_ID,Product_Name,Store_ID,Warehouse_ID,Sales_Quantity,Stock_Quantity,Price,Revenue
2026-08-13,67,Product_67,15,5,11.0,472,46.6,512.6
2026-08-09,22,Product_22,17,7,14.0,437,71.01,994.14
2026-07-29,38,Product_38,15,5,17.0,311,61.06,1038.02
2026-06-12,142,Product_142,1,1,11.0,303,72.41,796.51
2026-06-27,82,Product_82,9,9,20.0,134,60.88,1217.6
2026-06-04,46,Product_46,9,9,0.0,201,77.57,0.0
2026-07-10,63,Product_63,7,7,4.0,392,34.87,139.48
2026-06-16,87,Product_87,10,10,25.0,63,33.06,826.5
2026-07-25,81,Product_81,10,10,12.0,356,16.58,198.96
2026-07-07,105,Product_105,13,3,12.0,48,27.88,334.56
2026-08-24,39,Product_39,20,10,11.0,364,14.03,154.33
2026-08-11,98,Product_98,14,4,6.0,320,15.11,90.66
2026-06-21,67,Product_67,19,9,10.0,261,46.6,466.0
2026-07-06,142,Product_142,17,7,12.0,464,72.41,868.92
2026-07-08,24,Product_24,15,5,7.0,80,17.55,122.85
2026-06-03,23,Product_23,6,6,6.0,223,86.77,520.62
2026-08-05,70,Product_70,12,2,0.0,454,57.53,0.0
2026-06-07,77,Product_77,3,3,15.0,378,95.36,1430.4
2026-08-13,104,Product_104,19,9,14.0,183,7.75,108.5
2026-07-12,61,Product_61,4,4,17.0,326,30.7,521.9
2026-07-11,138,Product_138,5,5,22.0,406,10.18,223.96
2026-06-03,72,Product_72,19,9,7.0,165,79.13,553.91
2026-07-27,20,Product_20,3,3,3.0,277,74.81,224.43
2026-08-08,18,Product_18,11,1,14.0,478,65.13,911.82
2026-07-08,147,Product_147,12,2,7.0,363,48.56,339.92
2026-06-23,21,Product_21,5,5,5.0,171,24.23,121.15
2026-08-29,143,Product_143,8,8,15.0,75,21.45,321.75
2026-07-14,42,Product_42,16,6,3.0,168,58.67,176.01
2026-07-30,15,Product_15,15,5,7.0,100,67.0,469.0
2026-08-11,46,Product_46,12,2,0.0,144,77.57,0.0
2026-07-24,93,Product_93,11,1,3.0,117,15.51,46.53
2026-07-20,65,Product_65,8,8,7.0,224,19.04,133.28
2026-08-01,118,Product_118,13,3,0.0,259,10.44,0.0
2026-08-19,92,Product_92,1,1,9.0,118,79.22,712.98
2026-08-01,61,Product_61,2,2,14.0,77,30.7,429.8
2026-08-16,96,Product_96,16,6,1.0,65,31.97,31.97
2026-06-26,146,Product_146,4,4,7.0,498,98.1,686.7
2026-06-16,62,Product_62,15,5,17.0,144,39.6,673.2
2026-06-10,24,Product_24,1,1,9.0,398,17.55,157.95
2026-06-03,62,Product_62,6,6,15.0,216,39.6,594.0
2026-07-11,127,Product_127,19,9,22.0,65,52.93,1164.46
2026-08-17,33,Product_33,6,6,8.0,305,61.4,491.2
2026-06-06,143,Product_143,20,10,16.0,377,21.45,343.2
2026-07-30,89,Product_89,6,6,19.0,407,47.02,893.38
2026-08-12,91,Product_91,13,3,4.0,234,92.25,369.0
2026-08-22,48,Product_48,14,4,13.0,393,51.75,672.75
2026-08-12,139,Product_139,13,3,2.0,197,63.55,127.1
2026-06-08,6,Product_6,6,6,9.0,484,41.05,369.45
2026-06-14,45,Product_45,16,6,3.0,474,54.65,163.95
2026-08-28,63,Product_63,7,7,3.0,495,34.87,104.61
2026-06-09,72,Product_72,17,7,4.0,436,79.13,316.52
2026-08-28,72,Product_72,8,8,4.0,467,79.13,316.52
2026-08-24,23,Product_23,17,7,6.0,359,86.77,520.62
2026-06-25,34,Product_34,20,10,2.0,72,79.35,158.7
2026-08-12,15,Product_15,16,6,16.0,218,67.0,1072.0
2026-06-06,86,Product_86,10,10,2.0,53,83.41,166.82
2026-06-12,53,Product_53,9,9,12.0,469,13.33,159.96
2026-07-04,85,Product_85,8,8,6.0,390,48.16,288.96
2026-06-21,89,Product_89,8,8,25.0,173,47.02,1175.5
2026-07-10,106,Product_106,10,10,8.0,482,18.59,148.72
